ADDRESS,ASSESSED_VALUE,PROPERTY_TYPE,COMM_NAME,LAND_SIZE_SF
240 17 AV SW,"3,790,000",LI,BELTLINE,"25,307"
1330 8 ST SW,"10,040,000",LI,BELTLINE,"29,263"
239 12 AV SW,"14,610,000",LI,BELTLINE,"17,626"
119 12 AV SW,"39,020,000",LI,BELTLINE,"91,887"
610 10 AV SW,"62,000,000",LI,BELTLINE,"28,893"
1 1330 15 AV SW,"2,160,000",LI,BELTLINE,"37,997"
1 1508 8 ST SW,"5,400,000",LI,BELTLINE,"31,558"
1 735 12 AV SW,"444,000",LI,BELTLINE,"18,300"
100 1320 1 ST SE,"2,330,000",LI,BELTLINE,"36,909"
100 211 13 AV SE,"4,910,000",LI,BELTLINE,"37,512"
100 825 12 AV SW,"437,500",LI,BELTLINE,"13,039"
101 1111 10 ST SW,"1,000,000",LI,BELTLINE,"22,820"
101 1118 12 AV SW,"587,000",LI,BELTLINE,"17,079"
101 1208 14 AV SW,"491,000",LI,BELTLINE,"13,029"
101 1209 6 ST SW,"259,000",LI,BELTLINE,"21,182"
101 14 AV SE,"898,000",LI,BELTLINE,"40,805"
101 206 11 AV SE,"766,500",LI,BELTLINE,"10,717"
101 215 14 AV SW,"493,000",LI,BELTLINE,"14,000"
101 342 15 AV SW,"270,000",LI,BELTLINE,"14,026"
101 535 13 AV SW,"232,000",LI,BELTLINE,"22,750"
101 638 11 AV SW,"684,000",LI,BELTLINE,"18,756"
101 718 12 AV SW,"665,500",LI,BELTLINE,"19,979"
101 825 12 AV SW,"246,000",LI,BELTLINE,"13,039"
102 1111 10 ST SW,"412,500",LI,BELTLINE,"22,820"
102 1118 12 AV SW,"461,000",LI,BELTLINE,"17,079"
102 1209 6 ST SW,"198,000",LI,BELTLINE,"21,182"
102 342 15 AV SW,"130,500",LI,BELTLINE,"14,026"
102 718 12 AV SW,"220,500",LI,BELTLINE,"19,979"
102 825 12 AV SW,"226,500",LI,BELTLINE,"13,039"
103 1118 12 AV SW,"451,000",LI,BELTLINE,"17,079"
103 1209 6 ST SW,"225,500",LI,BELTLINE,"21,182"
103 718 12 AV SW,"365,500",LI,BELTLINE,"19,979"
105 638 11 AV SW,"439,500",LI,BELTLINE,"18,756"
109 14 AV SE,"1,270,000",LI,BELTLINE,"40,805"
109 638 11 AV SW,"628,500",LI,BELTLINE,"18,756"
110 396 11 AV SW,"680,000",LI,BELTLINE,"15,390"
1108 11 ST SW,"309,000",LI,BELTLINE,"24,888"
1109 OLYMPIC WY SE,"1,740,000",LI,BELTLINE,"48,787"
1114 11 ST SW,"687,000",LI,BELTLINE,"24,888"
1120 13 ST SW,"349,500",LI,BELTLINE,"19,498"
1124 13 ST SW,"517,500",LI,BELTLINE,"19,498"
1128 13 ST SW,"227,000",LI,BELTLINE,"19,498"
1129 OLYMPIC WY SE,"3,850,000",LI,BELTLINE,"48,787"
113 638 11 AV SW,"448,500",LI,BELTLINE,"18,756"
1130 12 ST SW,"1,460,000",LI,BELTLINE,"18,476"
1132 13 ST SW,"495,500",LI,BELTLINE,"19,498"
117 638 11 AV SW,"659,000",LI,BELTLINE,"18,756"
119 638 11 AV SW,"540,000",LI,BELTLINE,"18,756"
120 396 11 AV SW,"830,000",LI,BELTLINE,"15,390"
120 602 12 AV SW,"607,000",LI,BELTLINE,"25,296"
