ADDRESS,ASSESSED_VALUE,PROPERTY_TYPE,VALUE_CLEAN
240 17 AV SW,"3,790,000",LI,3790000.0
1330 8 ST SW,"10,040,000",LI,10040000.0
239 12 AV SW,"14,610,000",LI,14610000.0
119 12 AV SW,"39,020,000",LI,39020000.0
610 10 AV SW,"62,000,000",LI,62000000.0
1 1330 15 AV SW,"2,160,000",LI,2160000.0
1 1508 8 ST SW,"5,400,000",LI,5400000.0
1 735 12 AV SW,"444,000",LI,444000.0
100 1320 1 ST SE,"2,330,000",LI,2330000.0
100 211 13 AV SE,"4,910,000",LI,4910000.0
100 825 12 AV SW,"437,500",LI,437500.0
101 1111 10 ST SW,"1,000,000",LI,1000000.0
101 1118 12 AV SW,"587,000",LI,587000.0
101 1208 14 AV SW,"491,000",LI,491000.0
101 1209 6 ST SW,"259,000",LI,259000.0
101 14 AV SE,"898,000",LI,898000.0
101 206 11 AV SE,"766,500",LI,766500.0
101 215 14 AV SW,"493,000",LI,493000.0
101 342 15 AV SW,"270,000",LI,270000.0
101 535 13 AV SW,"232,000",LI,232000.0
101 638 11 AV SW,"684,000",LI,684000.0
101 718 12 AV SW,"665,500",LI,665500.0
101 825 12 AV SW,"246,000",LI,246000.0
102 1111 10 ST SW,"412,500",LI,412500.0
102 1118 12 AV SW,"461,000",LI,461000.0
102 1209 6 ST SW,"198,000",LI,198000.0
102 342 15 AV SW,"130,500",LI,130500.0
102 718 12 AV SW,"220,500",LI,220500.0
102 825 12 AV SW,"226,500",LI,226500.0
103 1118 12 AV SW,"451,000",LI,451000.0
103 1209 6 ST SW,"225,500",LI,225500.0
103 718 12 AV SW,"365,500",LI,365500.0
105 638 11 AV SW,"439,500",LI,439500.0
109 14 AV SE,"1,270,000",LI,1270000.0
109 638 11 AV SW,"628,500",LI,628500.0
110 396 11 AV SW,"680,000",LI,680000.0
1108 11 ST SW,"309,000",LI,309000.0
1109 OLYMPIC WY SE,"1,740,000",LI,1740000.0
1114 11 ST SW,"687,000",LI,687000.0
1120 13 ST SW,"349,500",LI,349500.0
1124 13 ST SW,"517,500",LI,517500.0
1128 13 ST SW,"227,000",LI,227000.0
1129 OLYMPIC WY SE,"3,850,000",LI,3850000.0
113 638 11 AV SW,"448,500",LI,448500.0
1130 12 ST SW,"1,460,000",LI,1460000.0
1132 13 ST SW,"495,500",LI,495500.0
117 638 11 AV SW,"659,000",LI,659000.0
119 638 11 AV SW,"540,000",LI,540000.0
120 396 11 AV SW,"830,000",LI,830000.0
120 602 12 AV SW,"607,000",LI,607000.0
1236 12 AV SW,"338,500",LI,338500.0
1238 12 AV SW,"483,500",LI,483500.0
1256 12 AV SW,"290,000",LI,290000.0
126 602 12 AV SW,"268,500",LI,268500.0
1260 12 AV SW,"567,500",LI,567500.0
130 602 12 AV SW,"18,520",LI,18520.0
