COMM_NAME,count,mean,median,min,max,std
ABBEYDALE,1862,481784.15,462000.0,12090.0,12280000.0,454366.98
ACADIA,3898,694763.89,596000.0,1650.0,70950000.0,2415291.45
ALBERT PARK/RADISSON HEIGHTS,2073,607905.17,467000.0,10000.0,30860000.0,1830729.39
ALPINE PARK,1444,479561.78,284000.0,0.0,12470000.0,578435.85
ALTADORE,3243,1002467.47,1000000.0,2500.0,28010000.0,981073.18
ALYTH/BONNYBROOK,357,2299083.14,980500.0,750.0,60720000.0,5347015.57
AMBLERIDGE,2,24000.0,24000.0,24000.0,24000.0,0.0
APPLEWOOD PARK,1823,554110.31,523500.0,2500.0,51090000.0,1700773.33
ARBOUR LAKE,4489,779251.9,684000.0,270.0,104890000.0,2257078.77
ASPEN WOODS,3822,1119273.05,1050000.0,670.0,108300000.0,2362325.62
AUBURN BAY,6944,667857.79,629750.0,140.0,66020000.0,1179864.18
AURORA BUSINESS PARK,27,9997111.11,6170000.0,88000.0,43640000.0,13141281.67
BANFF TRAIL,1371,1062335.52,806500.0,28500.0,107970000.0,3183917.9
BANKVIEW,2546,523631.97,276500.0,2500.0,43700000.0,1239265.92
BAYVIEW,261,1706796.93,1390000.0,13500.0,58450000.0,3573483.06
BEDDINGTON HEIGHTS,4387,542659.44,525000.0,6750.0,49200000.0,982553.77
BEL-AIRE,168,2914825.0,2425000.0,2600.0,12170000.0,1680744.66
BELMONT,1525,604498.78,610500.0,20.0,58000000.0,1549995.51
BELTLINE,21297,639780.28,232000.0,3000.0,615470000.0,7146906.32
BELVEDERE,803,858783.59,518000.0,520.0,56010000.0,3509003.93
BONAVISTA DOWNS,386,634531.87,618000.0,19800.0,3180000.0,221748.57
BOWNESS,4330,735957.76,539500.0,430.0,40060000.0,1321176.04
BRAESIDE,2562,519156.83,552000.0,19800.0,30800000.0,715316.45
BRENTWOOD,3500,752321.8,684250.0,8550.0,76640000.0,3120272.29
BRIDGELAND/RIVERSIDE,4246,678958.19,370000.0,110.0,129930000.0,3722763.1
BRIDLEWOOD,4798,500969.3,549500.0,40.0,37250000.0,810019.59
BRITANNIA,311,2370240.84,2040000.0,5400.0,9600000.0,1504267.48
BURNS INDUSTRIAL,146,3930048.01,2090000.0,2830.0,29110000.0,4781693.9
CALGARY INTERNATIONAL AIRPORT,97,8350932.99,5580000.0,813500.0,55240000.0,8083519.95
CAMBRIAN HEIGHTS,763,893944.69,768000.0,19800.0,15860000.0,769238.77
CANADA OLYMPIC PARK,2,82855000.0,82855000.0,4100000.0,161610000.0,111376389.1
CANYON MEADOWS,3207,655176.01,624000.0,400.0,23110000.0,643780.48
CAPITOL HILL,1752,973804.54,774000.0,2910.0,31050000.0,1531828.62
CARRINGTON,3245,592348.17,576000.0,5400.0,48680000.0,1331890.22
CASTLERIDGE,1693,531298.88,495500.0,90000.0,18700000.0,545967.22
CEDARBRAE,2405,561604.37,535500.0,23000.0,23630000.0,651500.32
CHAPARRAL,4520,693948.41,695000.0,450.0,16140000.0,541494.07
CHARLESWOOD,1364,908391.5,802500.0,17100.0,9450000.0,498955.15
CHINATOWN,1967,621363.9,346500.0,1800.0,215000000.0,5128923.79
CHINOOK PARK,539,937459.28,913500.0,4050.0,11800000.0,594226.13
CHRISTIE PARK,774,988325.97,964750.0,13000.0,13820000.0,738904.08
CITADEL,3857,618475.42,664500.0,2200.0,14090000.0,361717.63
CITYSCAPE,2268,671799.56,623500.0,600.0,76160000.0,1871664.84
CLIFF BUNGALOW,917,851002.18,326000.0,15000.0,46450000.0,2421347.19
COACH HILL,1669,610304.03,531000.0,1800.0,1870000.0,286089.45
COLLINGWOOD,885,912389.8,770500.0,4050.0,15140000.0,718652.55
COPPERFIELD,6212,491474.07,522500.0,1800.0,23420000.0,483890.02
CORAL SPRINGS,1493,741722.57,719000.0,6300.0,13880000.0,466916.78
CORNERSTONE,5182,594970.71,595000.0,750.0,60420000.0,1028742.61
COUGAR RIDGE,2451,769507.52,758000.0,2400.0,32860000.0,764725.01
COUNTRY HILLS,1618,547738.26,503000.0,10000.0,12280000.0,648391.84
COUNTRY HILLS VILLAGE,2493,330454.07,284000.0,10000.0,67430000.0,2516630.77
COVENTRY HILLS,5562,588704.96,548500.0,45000.0,53840000.0,1201712.39
CRANSTON,8974,691666.24,652000.0,120.0,46000000.0,797434.58
CRESCENT HEIGHTS,3747,697417.05,358500.0,1400.0,46680000.0,2388999.88
CRESTMONT,1084,881833.67,832750.0,400.0,14960000.0,846572.47
CURRIE BARRACKS,1620,638964.23,341500.0,2500.0,89730000.0,2797439.57
DALHOUSIE,3773,647656.3,661500.0,3600.0,161790000.0,2897646.1
DEER RIDGE,1426,609449.86,515000.0,2500.0,65280000.0,1925371.09
DEER RUN,2131,565770.12,587500.0,4200.0,6940000.0,260703.39
DEERFOOT BUSINESS CENTRE,166,4514635.54,291000.0,10000.0,97760000.0,10540061.6
DIAMOND COVE,281,835768.68,762000.0,59500.0,1610000.0,232307.51
DISCOVERY RIDGE,2437,654986.78,521000.0,0.0,3720000.0,559990.78
DOUGLASDALE/GLEN,5723,766625.54,665500.0,1800.0,150000000.0,3150383.3
DOVER,4332,431887.91,415000.0,2230.0,55840000.0,1109515.47
DOWNTOWN COMMERCIAL CORE,4524,5476835.61,160000.0,3000.0,773560000.0,36733276.25
DOWNTOWN EAST VILLAGE,2988,782254.38,330250.0,13220.0,204340000.0,6857488.06
DOWNTOWN WEST END,3105,447372.01,212500.0,290.0,110150000.0,3371058.82
EAGLE RIDGE,114,6525070.18,1995000.0,104000.0,451620000.0,42089842.92
EAST FAIRVIEW INDUSTRIAL,76,11017070.53,5260000.0,10960.0,67890000.0,14346622.95
EAST SHEPARD INDUSTRIAL,627,6304548.13,1990000.0,4110.0,245140000.0,16546459.07
EASTFIELD,162,2717793.89,697250.0,47000.0,52330000.0,5656184.67
EAU CLAIRE,3560,709500.24,45500.0,3000.0,409200000.0,10244270.75
EDGEMONT,5494,857016.88,841000.0,450.0,39340000.0,896111.02
ELBOW PARK,1291,1985628.03,1720000.0,4370.0,29720000.0,1386584.86
ELBOYA,772,1189652.33,970250.0,100.0,19200000.0,1251738.2
ERIN WOODS,2516,437053.37,455500.0,2500.0,19830000.0,535499.95
ERLTON,1189,542561.16,413500.0,200.0,71970000.0,2977870.48
EVANSTON,6265,738698.74,667500.0,2500.0,128270000.0,2280810.16
EVERGREEN,8699,599242.86,631000.0,240.0,27400000.0,604010.65
FAIRVIEW,1285,701172.12,596500.0,4180.0,42340000.0,1596460.27
FAIRVIEW INDUSTRIAL,183,3387557.81,1470000.0,7080.0,22500000.0,4232697.63
FALCONRIDGE,2975,500235.5,457500.0,8100.0,35820000.0,1105742.18
FISH CREEK PARK,204,2101268.04,319000.0,120.0,30570000.0,4843134.64
FOOTHILLS INDUSTRIAL,643,5258074.62,2790000.0,1330.0,75110000.0,8197322.03
FOREST HEIGHTS,1958,444854.33,431250.0,10800.0,10100000.0,435651.38
FOREST LAWN,2178,642312.63,469500.0,400.0,52290000.0,1817539.58
FOREST LAWN -  INDUSTRIAL,165,2318572.73,940500.0,13500.0,51280000.0,5569808.9
FRANKLIN,181,4268544.2,893000.0,91000.0,57000000.0,8493306.25
GARRISON GREEN,998,518065.13,325000.0,2500.0,41710000.0,1745171.89
