ADDRESS,ASSESSED_VALUE,COMM_NAME,PROPERTY_TYPE,VALUE_CLEAN
109 EVANSTON HL NW,"557,500",EVANSTON,LI,557500.0
55 AUBURN BAY CM SE,"373,000",AUBURN BAY,LI,373000.0
28 COPPERSTONE GA SE,"747,000",COPPERFIELD,LI,747000.0
20 ABERGALE CL NE,"417,000",ABBEYDALE,LI,417000.0
304 5555 FALSBRIDGE DR NE,"259,000",FALCONRIDGE,LI,259000.0
725 WOODBRIAR PL SW,"644,000",WOODBINE,LI,644000.0
114 235 9A ST NW,"455,500",SUNNYSIDE,LI,455500.0
3101 6118 80 AV NE,"331,500",SADDLE RIDGE,LI,331500.0
42 DOUGLASVIEW CI SE,"634,500",DOUGLASDALE/GLEN,LI,634500.0
230 81 GREENBRIAR PL NW,"627,500",GREENWOOD/GREENBRIAR,LI,627500.0
237 CITYSCAPE CM NE,"579,000",CITYSCAPE,LI,579000.0
90 BRIGHTONDALE PR SE,"653,500",NEW BRIGHTON,LI,653500.0
277 BRIGHTONSTONE GR SE,"700,000",NEW BRIGHTON,LI,700000.0
401 YORKVILLE AV SW,"78,000",YORKVILLE,LI,78000.0
508 34 ST NW,"1,750,000",PARKDALE,LO,1750000.0
4115 80 AV NE,"2,140,000",SADDLE RIDGE INDUSTRIAL,LI,2140000.0
1225 COPPERFIELD BV SE,"847,500",COPPERFIELD,LI,847500.0
110 7865 56 ST SE,"489,500",GREAT PLAINS,LI,489500.0
71 CITADEL PEAK CI NW,"762,000",CITADEL,LI,762000.0
23 DEERMEADE PL SE,"681,000",DEER RUN,LI,681000.0
97 ARBOUR CREST HT NW,"963,500",ARBOUR LAKE,LI,963500.0
215 CHAPALINA TC SE,"743,000",CHAPARRAL,LI,743000.0
508 17 AV NW,"733,500",MOUNT PLEASANT,LI,733500.0
420 STRATHCONA DR SW,"776,500",STRATHCONA PARK,LI,776500.0
2616 11811 LAKE FRASER DR SE,"288,000",LAKE BONAVISTA,LI,288000.0
58 CORNER MEADOWS CM NE,"706,000",CORNERSTONE,LI,706000.0
22 EVERHOLLOW HE SW,"676,500",EVERGREEN,LI,676500.0
27 SAGE BLUFF LI NW,"829,000",SAGE HILL,LI,829000.0
3108 15 AV SW,"579,500",SHAGANAPPI,LO,579500.0
270 LUCAS PL NW,"804,000",LIVINGSTON,LI,804000.0
301 630 10 ST NW,"437,000",SUNNYSIDE,LI,437000.0
322 CRANFORD PA SE,"488,000",CRANSTON,LI,488000.0
72V 119 19 ST NW,"15,000",WEST HILLHURST,LI,15000.0
185V 235 9A ST NW,"15,000",SUNNYSIDE,LI,15000.0
124 LEGACY HT SE,"883,000",LEGACY,LI,883000.0
303 4350 SETON DR SE,"404,500",SETON,LI,404500.0
93 SADDLECREST PL NE,"661,000",SADDLE RIDGE,LI,661000.0
57 AUBURN SHORES CA SE,"1,240,000",AUBURN BAY,LI,1240000.0
51V 607 17 AV NW,"10,000",MOUNT PLEASANT,LI,10000.0
508 450 8 AV SE,"272,000",DOWNTOWN EAST VILLAGE,LI,272000.0
2040 7 AV SE,"6,500,000",INGLEWOOD,LO,6500000.0
7323 35 AV NW,"543,000",BOWNESS,LI,543000.0
101 11 MAHOGANY CI SE,"917,000",MAHOGANY,LI,917000.0
401 836 ROYAL AV SW,"381,500",LOWER MOUNT ROYAL,LI,381500.0
504 1305 GLENMORE TR SW,"386,000",KELVIN GROVE,LI,386000.0
1923 11 ST SW,"1,130,000",UPPER MOUNT ROYAL,LI,1130000.0
196 ELGIN WY SE,"598,500",MCKENZIE TOWNE,LI,598500.0
59V 81 ARBOUR LAKE VW NW,"10,000",ARBOUR LAKE,LI,10000.0
3215 BEARSPAW DR NW,"790,000",BRENTWOOD,LI,790000.0
75 CARRINGVUE DR NW,"592,000",CARRINGTON,LI,592000.0
332S 19661 40 ST SE,"2,500",SETON,LI,2500.0
3835 13 ST SW,"1,580,000",ELBOW PARK,LI,1580000.0
228V 274 SHAWVILLE WY SE,"10,000",SHAWNESSY,LI,10000.0
702 428 NOLAN HILL DR NW,"464,500",NOLAN HILL,LI,464500.0
738 4A ST NW,"529,000",SUNNYSIDE,LI,529000.0
149 MADEIRA CR NE,"519,000",MARLBOROUGH PARK,LI,519000.0
64 HAWKWOOD PL NW,"693,000",HAWKWOOD,LI,693000.0
2089 BRIDLEMEADOWS MR SW,"538,500",BRIDLEWOOD,LI,538500.0
24 DALCASTLE PL NW,"844,000",DALHOUSIE,LI,844000.0
96 WHITEFIELD CL NE,"615,000",WHITEHORN,LI,615000.0
88 FALMEAD RD NE,"544,000",FALCONRIDGE,LI,544000.0
111 25 ASPENMONT HT SW,"390,000",ASPEN WOODS,LI,390000.0
456V 81 LEGACY BV SE,"10,000",LEGACY,LI,10000.0
5240 VARSITY DR NW,"791,000",VARSITY,LI,791000.0
4 1338 16 AV SW,"201,000",BELTLINE,LI,201000.0
59 SPRINGBANK ME SW,"712,000",SPRINGBANK HILL,LI,712000.0
909 MCKENZIE TOWNE MR SE,"343,000",MCKENZIE TOWNE,LI,343000.0
86 CHAPARRAL RIDGE PA SE,"432,500",CHAPARRAL,LI,432500.0
146 WOLF HOLLOW RI SE,"142,000",WOLF WILLOW,LO,142000.0
241 SCHUBERT PL NW,"811,000",SCENIC ACRES,LI,811000.0
33 SPRING VALLEY LN SW,"1,660,000",SPRINGBANK HILL,LI,1660000.0
208 RUNDLERIDGE DR NE,"604,000",RUNDLE,LI,604000.0
275 HAWKVILLE CL NW,"90,000",HAWKWOOD,LO,90000.0
151V 4641 128 AV NE,"10,000",SKYVIEW RANCH,LI,10000.0
198 PANORAMA HILLS CL NW,"625,000",PANORAMA HILLS,LI,625000.0
334V 10 WALGROVE WK SE,"10,000",WALDEN,LI,10000.0
731 SCHUBERT PL NW,"988,500",SCENIC ACRES,LI,988500.0
19 CHAPARRAL CM SE,"646,500",CHAPARRAL,LI,646500.0
64 CARRINGFORD RD NW,"1,010,000",CARRINGTON,LI,1010000.0
474 REGAL PA NE,"450,000",RENFREW,LI,450000.0
3025 SPILLER RD SE,"9,890,000",MANCHESTER INDUSTRIAL,LI,9890000.0
304 55 WOLF HOLLOW CR SE,"558,500",WOLF WILLOW,LI,558500.0
64 NOLAN HILL HT NW,"514,000",NOLAN HILL,LI,514000.0
3051 32A ST SE,"455,000",DOVER,LI,455000.0
1 3315 RIDEAU PL SW,"1,420,000",RIDEAU PARK,LI,1420000.0
3508 BULYEA CR NW,"761,000",BRENTWOOD,LI,761000.0
112 EVERRIDGE GD SW,"456,000",EVERGREEN,LI,456000.0
75 EDGERIDGE CL NW,"913,500",EDGEMONT,LI,913500.0
271 GREENWICH DR NW,"655,500",GREENWOOD/GREENBRIAR,LI,655500.0
167 4999 43 ST SE,"190,000",EASTFIELD,LI,190000.0
1702 KENSINGTON RD NW,"1,170,000",HILLHURST,LI,1170000.0
31 MARTINDALE BV NE,"456,000",MARTINDALE,LI,456000.0
274V 211 13 AV SE,"25,000",BELTLINE,LI,25000.0
1716 VALLEYVIEW RD NE,"540,500",VISTA HEIGHTS,LI,540500.0
1216 48 INVERNESS GA SE,"376,000",MCKENZIE TOWNE,LI,376000.0
3201 2280 68 ST NE,"250,000",MONTEREY PARK,LI,250000.0
209 WENTWORTH CL SW,"914,000",WEST SPRINGS,LI,914000.0
75 BRIDLECREEK HE SW,"682,500",BRIDLEWOOD,LI,682500.0
702 5204 DALTON DR NW,"254,000",DALHOUSIE,LI,254000.0
957S 70 ROYAL OAK PZ NW,"2,500",ROYAL OAK,LI,2500.0
515V 151 COUNTRY VILLAGE RD NE,"10,000",COUNTRY HILLS VILLAGE,LI,10000.0
175V 315 3 ST SE,"37,000",DOWNTOWN EAST VILLAGE,LI,37000.0
1304 1188 3 ST SE,"471,000",BELTLINE,LI,471000.0
20 CORNERSTONE PS NE,"487,500",CORNERSTONE,LI,487500.0
26 CEDARVIEW ME SW,"551,500",CEDARBRAE,LI,551500.0
109 1505 27 AV SW,"316,500",SOUTH CALGARY,LI,316500.0
1631 LEGACY CI SE,"468,500",LEGACY,LI,468500.0
703 LUCAS BV NW,"188,000",LIVINGSTON,LI,188000.0
33 3620 51 ST SW,"351,500",GLENBROOK,LI,351500.0
412 SAGE HILL GV NW,"487,000",SAGE HILL,LI,487000.0
